policy,ratio,round,subset,n,mse,mae,pred_mean,label_mean,pred_abs_mean,label_abs_mean,pred_std,label_std,same_sign_rate,pred_close_frac,label_close_frac
noise80_r3,noise80,3,gripper_dim_13,2000,0.02896149270236492,0.068649522960186,-0.633217990398407,-0.6531884074211121,0.938159704208374,0.9815123081207275,0.6952034831047058,0.7346676588058472,0.9925,0.158,0.1655
noise80_r3,noise80,3,source=dagger_round_1,500,0.004213952459394932,0.017717640846967697,-0.0711006373167038,-0.0741477683186531,0.17315806448459625,0.17828784883022308,0.3726270794868469,0.38878679275512695,,,
noise80_r3,noise80,3,source=dagger_round_2,500,0.00439137639477849,0.019875235855579376,-0.07643648236989975,-0.07870927453041077,0.17421184480190277,0.1803031712770462,0.3690136969089508,0.38945743441581726,,,
noise80_r3,noise80,3,source=dagger_round_3,500,0.007553573697805405,0.022022146731615067,-0.0711207240819931,-0.07413826882839203,0.17316892743110657,0.1795157641172409,0.37041619420051575,0.38913893699645996,,,
noise80_r3,noise80,3,source=noisy,500,0.022633343935012817,0.11432145535945892,-0.11275865137577057,-0.11304033547639847,0.16918423771858215,0.24955154955387115,0.3372609317302704,0.37405097484588623,,,
noise80_r4,noise80,4,all,2000,0.009742796421051025,0.03804344683885574,-0.08532624691724777,-0.08213593065738678,0.17440612614154816,0.19355298578739166,0.3686584532260895,0.38676008582115173,,,
noise80_r4,noise80,4,arm_xyz,2000,0.007021120749413967,0.039314113557338715,0.018830109387636185,0.019701458513736725,0.07187048345804214,0.0874829813838005,0.1567927896976471,0.18243670463562012,,,
noise80_r4,noise80,4,arm_rot,2000,0.004646246787160635,0.029825327917933464,0.0004408993700053543,0.0016043069772422314,0.015691006556153297,0.03570471331477165,0.04150824621319771,0.08197028934955597,,,
noise80_r4,noise80,4,z,2000,0.011731249280273914,0.053765248507261276,0.01734778843820095,0.01861896552145481,0.09877124428749084,0.11979293823242188,0.21490246057510376,0.2512294054031372,,,
noise80_r4,noise80,4,gripper,2000,0.033197470009326935,0.05888579413294792,-0.6550968289375305,-0.6388687491416931,0.9581583738327026,0.9853078722953796,0.7022753357887268,0.7516486048698425,,,
